Phase,Version,Processes,MatrixSize,Time(s),Speedup
phase1_strong,standard,1,512,38.8986,1.0
phase1_strong,hybrid,1,512,0.0044,1.0
phase1_strong,optimized,1,512,0.0048,1.0
phase1_strong,standard,2,512,24.7049,1.574529749159074
phase1_strong,hybrid,2,512,0.0054,0.8148148148148148
phase1_strong,optimized,2,512,0.0062,0.7741935483870968
phase1_strong,standard,3,512,16.3234,2.3829961895193406
phase1_strong,hybrid,3,512,0.0057,0.7719298245614036
phase1_strong,optimized,3,512,0.0069,0.6956521739130435
phase1_strong,standard,4,512,12.8849,3.0189291341027094
phase1_strong,hybrid,4,512,0.0058,0.7586206896551725
phase1_strong,optimized,4,512,0.0051,0.9411764705882352
phase1_weak,standard,1,256,4.347,1.0
phase1_weak,hybrid,1,256,0.001,1.0
phase1_weak,optimized,1,256,0.001,1.0
phase1_weak,standard,2,362,8.3644,1.0
phase1_weak,hybrid,2,362,0.0029,1.0
phase1_weak,optimized,2,362,0.0024,1.0
phase1_weak,standard,3,443,11.0988,1.0
phase1_weak,hybrid,3,443,0.0062,1.0
phase1_weak,optimized,3,443,0.0045,1.0
phase1_weak,standard,4,512,13.2171,1.0
phase1_weak,hybrid,4,512,0.0068,1.0
phase1_weak,optimized,4,512,0.0058,1.0
phase2_strong,hybrid,1,4096,0.7473,1.0
phase2_strong,optimized,1,4096,0.7216,1.0
phase2_strong,hybrid,2,4096,0.7602,0.9830307813733228
phase2_strong,optimized,2,4096,0.7246,0.9958597847088049
phase2_strong,hybrid,3,4096,0.8152,0.9167075564278704
phase2_strong,optimized,3,4096,0.7631,0.9456165640152012
phase2_strong,hybrid,4,4096,0.8217,0.909456005841548
phase2_strong,optimized,4,4096,0.7807,0.9242987062892277
phase2_weak,hybrid,1,2048,0.1422,1.0
phase2_weak,optimized,1,2048,0.128,1.0
phase2_weak,hybrid,2,2896,0.327,1.0
phase2_weak,optimized,2,2896,0.3383,1.0
phase2_weak,hybrid,3,3544,0.5255,1.0
phase2_weak,optimized,3,3544,0.5451,1.0
phase2_weak,hybrid,4,4096,0.7836,1.0
phase2_weak,optimized,4,4096,0.7844,1.0
